,name,mAP
504,"(17, 57, 63)",68.86848807059671
505,"(16, 28, 49)",68.67387964027307
506,"(17, 39, 74)",68.77734474447288
507,"(7, 19, 24)",68.72758796052571
508,"(46, 53, 72)",68.6015024716317
509,"(14, 23, 35)",68.70317741601366
510,"(42, 64, 72)",68.5803531850008
511,"(37, 52, 71)",68.72127068231988
512,"(38, 58, 73)",68.42390409913534
513,"(16, 40, 61)",68.43708157775478
514,"(17, 35, 39)",68.65481180697898
515,"(29, 36, 58)",68.51416483943943
516,"(3, 26, 28)",68.49714053531619
517,"(37, 66, 67)",68.66223507563474
518,"(22, 28, 53)",68.57382900734235
519,"(18, 20, 49)",68.7614436353847
520,"(5, 48, 74)",68.58160636613981
521,"(2, 27, 54)",68.83191990062973
522,"(34, 55, 58)",68.46927890161962
523,"(8, 59, 68)",68.76469850822913
524,"(5, 38, 58)",68.35049809509633
525,"(7, 12, 62)",68.72375144703312
526,"(0, 19, 30)",68.62061628767135
527,"(27, 47, 55)",68.6818517957577
528,"(19, 21, 25)",68.53235641793816
529,"(34, 58, 72)",68.50073482663844
530,"(42, 54, 68)",68.71519220536388
531,"(47, 59, 63)",68.5650375217914
532,"(40, 55, 74)",68.5934865562207
533,"(23, 52, 72)",68.70118361524044
534,"(15, 50, 63)",68.71377422654582
535,"(15, 64, 67)",68.7346274525752
536,"(11, 43, 51)",68.5619217755415
537,"(28, 29, 30)",68.43562588222476
538,"(0, 25, 30)",68.46787043682023
539,"(9, 35, 36)",68.62746198551932
540,"(0, 41, 64)",68.71289405731616
541,"(17, 25, 60)",68.65573092967117
542,"(2, 21, 61)",68.81126159458137
543,"(18, 42, 65)",68.59185920569834
544,"(14, 22, 70)",68.72549620479074
545,"(8, 40, 62)",68.39565770037959
546,"(10, 38, 61)",68.679931017017
547,"(0, 6, 61)",68.69038812770788
548,"(24, 39, 52)",68.69136131603419
549,"(15, 38, 74)",68.60075881540389
550,"(29, 64, 70)",68.69365376286851
551,"(14, 27, 46)",68.66210685333739
552,"(16, 38, 71)",68.51166435908489
553,"(58, 61, 63)",68.55444043755878
554,"(31, 34, 67)",68.8084664242434
555,"(39, 45, 54)",68.35677087422955
556,"(1, 13, 40)",68.54932361439398
557,"(31, 48, 58)",68.47193212774081
558,"(26, 51, 61)",68.59574315759006
559,"(2, 16, 60)",68.79979662153782
560,"(5, 11, 57)",68.82711479285354
561,"(14, 62, 73)",68.59051540954636
562,"(2, 10, 62)",68.61902793778218
563,"(11, 16, 24)",68.77502057554362
564,"(19, 32, 35)",68.71968999112742
565,"(3, 25, 41)",68.37861606029924
566,"(0, 10, 68)",68.774777485809
567,"(21, 41, 73)",68.6453870541072
568,"(45, 68, 70)",68.32271280649204
569,"(9, 12, 15)",68.72342029867818
570,"(24, 40, 57)",68.55987733410917
571,"(9, 25, 69)",68.61813634234053
572,"(11, 52, 64)",68.81305347764147
573,"(1, 53, 71)",68.56572584041396
574,"(57, 71, 72)",68.7721579039895
575,"(30, 40, 73)",68.28907936406856
576,"(38, 44, 68)",68.30271278906254
577,"(5, 28, 64)",68.50158807330705
578,"(37, 44, 66)",68.5189130030926
579,"(21, 37, 47)",68.6829473547314
580,"(16, 63, 68)",68.7240300766742
581,"(10, 24, 59)",68.68084541092911
582,"(15, 48, 71)",68.66443566372324
583,"(22, 35, 74)",68.7048710772024
584,"(4, 36, 37)",68.63626984458769
585,"(41, 47, 67)",68.62331784847261
586,"(13, 21, 41)",68.78936341580687
587,"(2, 52, 72)",68.77326478105101
588,"(0, 23, 74)",68.72154090633933
589,"(10, 18, 52)",68.74404089772742
590,"(18, 39, 47)",68.54442780679395
591,"(44, 54, 72)",68.48068954925311
592,"(43, 47, 65)",68.486442835403
593,"(20, 30, 44)",68.35934927688345
594,"(28, 37, 50)",68.53636292858945
595,"(25, 26, 65)",68.52377645750346
596,"(0, 27, 33)",68.75075980286036
597,"(4, 36, 42)",68.63176221813892
598,"(11, 24, 62)",68.73623446808901
599,"(6, 58, 59)",68.43200582608328
600,"(24, 42, 47)",68.5434180638508
601,"(26, 43, 44)",68.35090722775313
602,"(15, 38, 67)",68.50605940726776
603,"(26, 34, 68)",68.70796609882903
604,"(18, 41, 72)",68.73069481721319
605,"(7, 34, 58)",68.66198715041587
606,"(67, 72, 73)",68.66807631599548
607,"(5, 20, 28)",68.47414871195319
608,"(8, 32, 70)",68.63558995863414
609,"(2, 7, 54)",68.83337031722712
610,"(22, 52, 61)",68.7820219994153
611,"(13, 21, 63)",68.67408399688613
612,"(13, 38, 73)",68.55912970064514
613,"(20, 27, 30)",68.5396423943636
614,"(8, 18, 38)",68.53053775323828
615,"(16, 37, 48)",68.66529294941147
616,"(1, 13, 59)",68.72176019349298
617,"(3, 5, 69)",68.47470378993965
618,"(34, 56, 64)",68.63035999036693
619,"(29, 37, 49)",68.8469612921119
620,"(7, 36, 64)",68.8083305754178
621,"(9, 33, 70)",68.64208477450892
